column	row	N	corrected-left-p-value	corrected-right-p-value	corrected-two-tail-p-value	distribution	expected-mean	expected-stdev	left-p-value	observed	probability	right-p-value	two-tail-p-value
liver	Drug metabolism - cytochrome P450	57	1	1.7230479117724535E-5	1	BINOMIAL	5.91113558634282	2.301765929620477	0.9999998907502381	20	0.10370413309373369	5.452683265102701E-7	1
testis	Drug metabolism - cytochrome P450	68	0.3490671599367659	1	1	BINOMIAL	6.465121668597915	2.4187699695934537	0.03732164603097497	2	0.09507531865585168	0.9908693169927639	1
kidney	Drug metabolism - cytochrome P450	67	0.9111823213260029	1	1	BINOMIAL	5.465916303473956	2.2405361541719944	0.1936262432817756	3	0.08158084035035755	0.9185149624943902	1
adrenal cortex	Drug metabolism - cytochrome P450	67	0.2645048715681305	1	1	BINOMIAL	10.01895654381585	2.9190332641383416	0.0066126217892032635	3	0.1495366648330724	0.9984291363653155	1
brain, nos	Drug metabolism - cytochrome P450	67	0.20626991752527202	1	1	BINOMIAL	6.633944061270257	2.4448088113053914	0.0077351219071977	1	0.09901409046672026	0.999075076228457	1
colon, nos	Drug metabolism - cytochrome P450	68	0.9392147242885214	1	1	BINOMIAL	5.915646486667785	2.3240086050076862	0.14675230067008146	3	0.08699480127452625	0.9422123711209512	1
ovary	Drug metabolism - cytochrome P450	63	1	0.9270248022973882	1	BINOMIAL	5.2544610758873125	2.1945881726071965	0.569535959336194	5	0.08340414406170338	0.6120740681835319	1
urinary bladder	Drug metabolism - cytochrome P450	65	1	0.0014328249657639088	1	BINOMIAL	4.338124054462935	2.012112335249779	0.9999805024014571	14	0.06674037006866054	8.213646300557439E-5	1
breast	Drug metabolism - cytochrome P450	70	1	1	1	BINOMIAL	2.517460062615397	1.557858416527612	0.5369242186943277	2	0.03596371518021996	0.7218947484619935	1
lung	Drug metabolism - cytochrome P450	70	1	8.027230580459222E-4	1	BINOMIAL	1.7001675041876048	1.2879726913189515	0.9999925170287437	9	0.024288107202680067	5.017019112787014E-5	1
bones and joints	Drug metabolism - cytochrome P450	63	0.8451892401081041	1	1	BINOMIAL	5.983332243937513	2.32703117156604	0.054178797442827185	2	0.09497352768154782	0.9858383036139796	1
cervix uteri	Drug metabolism - cytochrome P450	67	1	1	1	BINOMIAL	3.98603647442136	1.9362063115170378	0.43025900080442775	3	0.05949308170778149	0.7687844496981312	1
mouth, nos	Drug metabolism - cytochrome P450	68	1	1	1	BINOMIAL	2.2338627049180326	1.4698565423697292	0.10316982667306732	0	0.03285092213114754	1	1
lymph nodes	Drug metabolism - cytochrome P450	68	0.8292118009927453	1	1	BINOMIAL	5.48359414437153	2.2453042407403156	0.19175522897957237	3	0.08064109035840485	0.9194631023961242	1
stomach	Drug metabolism - cytochrome P450	64	1	1	1	BINOMIAL	3.001546126095173	1.6913829073932656	0.19180303119377032	1	0.046899158220237075	0.9537739697192424	1
HR systems	Drug metabolism - cytochrome P450	68	0.7656735086318821	1	1	BINOMIAL	3.202796038944828	1.746981548865355	0.37326583545804254	2	0.04709994174918865	0.8360103402860161	1
thyroid gland	Drug metabolism - cytochrome P450	63	1	1	1	BINOMIAL	2.644839395370808	1.5917929717078971	0.5037978020915381	2	0.041981577704298535	0.7477527314746357	1
pancreas	Drug metabolism - cytochrome P450	69	1	1	1	BINOMIAL	1.7733732643615572	1.314456423201462	0.4677744633288442	1	0.02570106180234141	0.8341315377748557	1
prostate gland	Drug metabolism - cytochrome P450	69	1	1	1	BINOMIAL	2.8502297530155087	1.6530255235020441	0.9345392285170725	5	0.04130767757993491	0.156312816154528	1
skin	Ascorbate and aldarate metabolism	23	1	0.0013384328269582923	1	BINOMIAL	2.850547962594677	1.5802721209339494	0.999966022434534	10	0.12393686793889899	2.0913012921223317E-4	1
liver	Ascorbate and aldarate metabolism												
testis	Ascorbate and aldarate metabolism	23	0.9747066791349284	1	1	BINOMIAL	2.1867323290845886	1.4067082341700494	0.34329291843745907	1	0.09507531865585168	0.8995185320438763	1
kidney	Ascorbate and aldarate metabolism	23	1	1	1	BINOMIAL	1.8763593280582236	1.3127392571550534	0.42978174633414334	1	0.08158084035035755	0.8587652681466398	1
adrenal cortex	Ascorbate and aldarate metabolism	23	0.4285052659149725	1	1	BINOMIAL	3.4393432911606654	1.7102734770160288	0.024103421207717204	0	0.1495366648330724	1	1
brain, nos	Ascorbate and aldarate metabolism	23	0.5816931557415637	1	1	BINOMIAL	2.277324080734566	1.4324234388555197	0.09088955558461934	0	0.09901409046672026	1	1
colon, nos	Ascorbate and aldarate metabolism	24	0.857548513998635	1	1	BINOMIAL	2.08787523058863	1.3806668460630052	0.11255324246232085	0	0.08699480127452625	1	1
ovary	Ascorbate and aldarate metabolism	22	1	0.906946981737759	1	BINOMIAL	1.8348911693574743	1.296863000447941	0.7234219707757483	2	0.08340414406170338	0.5581212195309286	1
urinary bladder	Ascorbate and aldarate metabolism	23	1	2.8431780053563016E-4	1	BINOMIAL	1.5350285115791924	1.1969043991273705	0.9999991083956045	9	0.06674037006866054	9.054707023427712E-6	1
breast	Ascorbate and aldarate metabolism	25	1	1	1	BINOMIAL	0.8990928795054989	0.930998474363089	0.4002529204228039	0	0.03596371518021996	1	1
lung	Ascorbate and aldarate metabolism	25	1	6.754829328532365E-7	1	BINOMIAL	0.6072026800670016	0.7697109043529133	0.9999999998328658	9	0.024288107202680067	4.221768330332728E-9	1
bones and joints	Ascorbate and aldarate metabolism	22	1	1	1	BINOMIAL	2.089417608994052	1.3751284477705863	0.368301207717998	1	0.09497352768154782	0.8886864026442111	1
cervix uteri	Ascorbate and aldarate metabolism	23	1	1	1	BINOMIAL	1.3683408792789742	1.1344311629816648	0.24396407239897105	0	0.05949308170778149	1	1
mouth, nos	Ascorbate and aldarate metabolism	25	1	1	1	BINOMIAL	0.8212730532786885	0.8912314380434638	0.43384595418510963	0	0.03285092213114754	1	1
lymph nodes	Ascorbate and aldarate metabolism	24	1	1	1	BINOMIAL	1.9353861686017164	1.3339094863224785	0.6950743716559769	2	0.08064109035840485	0.5872145455756592	1
stomach	Ascorbate and aldarate metabolism	21	1	1	1	BINOMIAL	0.9848823226249785	0.9688612752855154	0.3646833330767084	0	0.046899158220237075	1	1
HR systems	Ascorbate and aldarate metabolism	24	0.773291274715317	1	1	BINOMIAL	1.1303986019805277	1.0378616929407696	0.31414958035309754	0	0.04709994174918865	1	1
thyroid gland	Ascorbate and aldarate metabolism	22	1	1	1	BINOMIAL	0.9235947094945678	0.940649109089379	0.3892466917530078	0	0.041981577704298535	1	1
pancreas	Ascorbate and aldarate metabolism	24	1	1	1	BINOMIAL	0.6168254832561938	0.7752241052687715	0.5353200403461184	0	0.02570106180234141	1	1
prostate gland	Ascorbate and aldarate metabolism	25	1	1	1	BINOMIAL	1.0326919394983727	0.9950044390967189	0.981618632228397	3	0.04130767757993491	0.08246744047954593	1
skin	Androgen and estrogen metabolism	43	1	0.0010339334338081453	1	BINOMIAL	5.329285321372657	2.160738390062291	0.9999704395895223	15	0.12393686793889899	1.2277959526471726E-4	1
liver	Androgen and estrogen metabolism	35	1	0.0036638404447621844	1	BINOMIAL	3.629644658280679	1.8036727822849077	0.9998700183218608	11	0.10370413309373369	5.797215893611051E-4	1
testis	Androgen and estrogen metabolism	43	0.2707957094672703	1	1	BINOMIAL	4.088238702201623	1.9234209380290674	0.013624941356843787	0	0.09507531865585168	1	1
kidney	Androgen and estrogen metabolism	43	1	1	1	BINOMIAL	3.5079761350653746	1.794935233939582	0.307559785830269	2	0.08158084035035755	0.8759006593153658	1
adrenal cortex	Androgen and estrogen metabolism	43	0.39374235216192627	1	1	BINOMIAL	6.430076587822113	2.3384919029703677	0.034452455814168545	2	0.1495366648330724	0.9919146544199317	1
brain, nos	Androgen and estrogen metabolism	43	0.4703102333488602	1	1	BINOMIAL	4.257605890068971	1.9585818633128513	0.06466765708546827	1	0.09901409046672026	0.9887053191840011	1
colon, nos	Androgen and estrogen metabolism	44	1	1	1	BINOMIAL	3.8277712560791546	1.86943174690391	0.6641438106749071	4	0.08699480127452625	0.5398637471499554	1
ovary	Androgen and estrogen metabolism	42	1	0.9139816866499144	1	BINOMIAL	3.5029740505915417	1.7918737394782023	0.7291964671438073	4	0.08340414406170338	0.4687085572563664	1
urinary bladder	Androgen and estrogen metabolism	43	1	0.005688753251759737	1	BINOMIAL	2.869835912952403	1.6365518635489764	0.9999092759552932	10	0.06674037006866054	4.3480916573959775E-4	1
breast	Androgen and estrogen metabolism	45	1	1	1	BINOMIAL	1.618367183109898	1.2490655253746774	0.5153862559331299	1	0.03596371518021996	0.8076013072367507	1
lung	Androgen and estrogen metabolism	45	1	3.147073325866257E-5	1	BINOMIAL	1.092964824120603	1.0326755430935717	0.9999998954065743	9	0.024288107202680067	1.1801524971998463E-6	1
bones and joints	Androgen and estrogen metabolism	42	0.9816354282887771	1	1	BINOMIAL	3.9888881626250083	1.9000129952959122	0.0818029523573981	1	0.09497352768154782	0.9848722662899277	1
cervix uteri	Androgen and estrogen metabolism	43	1	1	1	BINOMIAL	2.5582025134346043	1.5511309300886844	0.2661409152992787	1	0.05949308170778149	0.9284572277395287	1
mouth, nos	Androgen and estrogen metabolism	42	1	1	1	BINOMIAL	1.3797387295081966	1.155167970445768	0.24588029586979032	0	0.03285092213114754	1	1
